"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KRT82",44.0125319567649,11.1230860369817,1.98635027640936,5.59976061074608,2.14648014246746e-08,5.36694052173501e-06
"POTEA",3.65601149301487,16.6765310061979,2.98341825626083,5.5897395449671,2.27410452181613e-08,5.62143132534844e-06
"LOC100292680",26783.6639599367,3.77145923805444,0.680090136674157,5.54552850376274,2.93067586015625e-08,7.16303280741337e-06
"ZFP42",97.114530161787,10.8118124888997,1.99511109004608,5.41915312026561,5.98820147074836e-08,1.44734829547988e-05
"MAGEB3",102.160115190567,10.6990503582888,1.99586373008531,5.36061164748533,8.29406477441626e-08,1.98264605536129e-05
"OR10W1",8.24095822968361,15.4246017529419,2.97902065558062,5.17774246514433,2.24586960858269e-07,5.31026104298904e-05
"PASD1",47.6524435134354,14.4169005133639,2.78983027543248,5.16766221956962,2.37040204413348e-07,5.54444684581029e-05
"SYT3",2754.06032321648,2.09594313182563,0.409418351622188,5.11931896438235,3.06640962803354e-07,7.09612857857592e-05
"OR2J3",35.9204347028775,12.456584826487,2.44389002851686,5.09703165082537,3.45020660917224e-07,7.90024677571829e-05
"POU3F3",74.9578835542237,13.4496993185081,2.65743221650848,5.0611636432177,4.16705358758552e-07,9.44228298861956e-05
"OR13C4",13.2900346107956,12.5655897357939,2.50836407937691,5.00947603224935,5.45784229475248e-07,0.00012239633344098
"GPR78",9.49100450566521,14.9318213413191,2.98602701309442,5.00056472223447,5.71626345142521e-07,0.000126883549855972
"NPY2R",28.2637316021993,11.2503427101848,2.30415169700463,4.88263976925222,1.04674993442934e-06,0.00022999950831961
"NCRNA00208",4.58383597620072,14.5677818559185,2.98607167106213,4.87857742903298,1.06853716324414e-06,0.000232438889120498
"MAP7D2",13314.6812299611,1.98953754294528,0.408410728743425,4.87141351322129,1.10802663890798e-06,0.000238642608674905
"LCE1C",10.7565382021329,14.4875322965668,2.98032316660638,4.86106086041112,1.16758347615315e-06,0.000249004346634898
"HMX1",41.0209270623387,12.6223301968826,2.59772623781944,4.85899168785311,1.17985086397846e-06,0.000249177629554597
"UNC13A",5013.93681729205,1.75332144203075,0.363937894039676,4.81763913773597,1.45266788671505e-06,0.000303845043651081
"PEG3",163631.771793996,2.33041075725327,0.484598846686595,4.80894821188136,1.51726504666254e-06,0.000314333967238575
"OR3A2",17.4316010270189,14.1774446481067,2.98184178147899,4.75459319678413,1.98846398754149e-06,0.000408066576613114
"MUC17",252.783334264694,6.84612428018529,1.44728926622502,4.73030819750504,2.24179241393305e-06,0.000455754302619492
"EPHX3",2565.1433313236,1.40575960057444,0.29850260352857,4.70937132191511,2.48482027472484e-06,0.000500484217000829
"LRRC10",3.93860346947868,14.0088848202932,2.98614362449911,4.69129639490901,2.71479349219981e-06,0.000541788099411215
"TNNI3",1382.82407513698,2.61849787772671,0.561016151369592,4.66741977273604,3.05005783447699e-06,0.000603162800667073
"FLJ31662",19.6374077146638,13.6558954843548,2.97539420097908,4.58960882556712,4.44077430009716e-06,0.000870271741892013
"PEG3.AS1",23367.4300261881,2.17741252949122,0.474675929397837,4.58715598293226,4.49324974267009e-06,0.000872693407609843
"TMEM196",14.9681469646495,13.6412088852808,2.98243431212017,4.57385057228081,4.78841406265831e-06,0.000918374425713453
"PATE1",2.88081015299562,13.6269543826361,2.98001333987165,4.57278301419384,4.81288486789563e-06,0.000918374425713453
"CLPS",8.83075222329325,13.5221759626576,2.97850904797499,4.53991434803631,5.62770847359703e-06,0.00106451776022744
"ASB10",7.37088258872536,-13.5017185308091,2.9803031337612,-4.53031719420088,5.88951959888474e-06,0.00110443723995293
"FAM123C",38.8156400429302,13.4880505965074,2.9825042191607,4.5223911201383,6.11449410221143e-06,0.00113682555731116
"MIR196A1",7.21756758973088,13.4715338350278,2.98555971383446,4.51223057860927,6.41493941955936e-06,0.00118257777282775
"SPINLW1.WFDC6",19.0294559680763,13.4410607033928,2.98038263099116,4.50984399238793,6.4875317363888e-06,0.00118590989799719
"PRL",291.555455718576,9.30192344228051,2.06520462011239,4.50411709895084,6.66494503017213e-06,0.00120818791034445
"KHDRBS3",75734.0734172388,-0.725545273205163,0.161851527033493,-4.48278299564652,7.36758409540493e-06,0.00132452113080449
"PAGE3",19.0458917909231,13.3533937122171,2.9819493343399,4.47807531752484,7.53190297438662e-06,0.00134296299509698
"FLJ26245",13.2168580268556,13.3029066053126,2.98198118039516,4.46109676773673,8.15412576090469e-06,0.00144208697298341
"CYMP",11.5139551933685,-13.2833241849902,2.97905832064322,-4.45890034879283,8.2381207979434e-06,0.00144519227191663
"KLK5",12.0593392250663,13.270999731461,2.98296752871432,4.44892530800725,8.63010189285222e-06,0.00150184485180171
"FOXI3",14.0721989739378,13.2394950785574,2.98282319640782,4.43857855688583,9.05549333154568e-06,0.00156336624159614
"WNT8A",22.7874319328583,10.9852045062181,2.48672606545567,4.41753704150165,9.98319658932445e-06,0.00170995649927224
"FGF6",5.05581557035064,13.1626501057527,2.98140253858582,4.41491879590206,1.01047914191143e-05,0.0017172619354687
"RP1.177G6.2",23.2400095606483,9.93417029049645,2.25442461106658,4.40652139873356,1.05043935324961e-05,0.00177133389544487
"LHX8",5.73558340957259,13.1277977642494,2.98196042439801,4.40240509459465,1.07057425195766e-05,0.00179140013098731
"OR8K3",49.7617733929709,11.3611772412435,2.58828049956413,4.38946908696979,1.13627728784514e-05,0.00188682746889278
"CST8",2.20131569085118,13.0733875275632,2.98663018880143,4.37730375075654,1.20156467012575e-05,0.00198012395979132
"KLHL35",1693.13209666515,1.45216622769602,0.332572275714251,4.36646808450062,1.26271728418166e-05,0.00206525481825591
"MIR548K",19.2959492979511,9.04391718987745,2.09170415716808,4.32370761366265,1.53428613126505e-05,0.00249069598607527
"WFDC6",7.02600514767219,12.8512896229764,2.97615586453173,4.31808353054736,1.57389868417632e-05,0.00253607541310278
"TCEAL6",7.83554263222972,-12.7963708201807,2.97975872059212,-4.29443187186573,1.75141251717492e-05,0.00279260195243861
"LOC100129345",19.8721550472094,11.836723449538,2.75689317397083,4.29350094566385,1.75877565156111e-05,0.00279260195243861
"CXorf49",1.95163892199407,12.7493865556984,2.97882964845863,4.27999854315115,1.86894536796647e-05,0.00292483227261689
"CXorf49B",1.95163892199407,12.7493865556984,2.97882964845863,4.27999854315115,1.86894536796647e-05,0.00292483227261689
"CCKAR",0.92802024735261,12.6851792180198,2.98625118986239,4.24786074965259,2.15821465433751e-05,0.0033534030982717
"FGF12",21259.1940345985,-1.40336510229876,0.332403775392905,-4.22186872167733,2.42285214888997e-05,0.00373789381523429
"MST1R",17035.2728472091,1.50411020263846,0.357597405743521,4.2061552418455,2.59751838859684e-05,0.0039791420779681
"TPD52L3",13.8575882611455,-10.1430396195265,2.41637712031759,-4.19762276932723,2.69731439933024e-05,0.00410312448451963
"HAND1",31.8480791536395,11.5082320775464,2.74406166135286,4.19386788556081,2.74237741104875e-05,0.00414270387656552
"MYO7B",49561.873922142,1.43770755754178,0.343701789141798,4.18300865157452,2.876764398761e-05,0.00429427942907656
"LOC285224",16.4456791377551,-11.2703935108116,2.69460340381221,-4.18257970537212,2.88219922146452e-05,0.00429427942907656
"KLK9",7.38142582787724,12.467512460467,2.98798360597167,4.17255049042101,3.01208823160012e-05,0.00445727587088417
"DNAJA1P5",13.3238106741828,12.1987580815546,2.93596957567422,4.15493341028686,3.25382290686043e-05,0.00478246011438749
"HIST3H2A",3170.12916260218,1.45699320457534,0.352844902825331,4.12927377697332,3.63910866541269e-05,0.00531285441602162
"PAGE2",5146.1017914665,-2.70586788913119,0.656361554615955,-4.12252647965408,3.74739517701296e-05,0.00543447248570419
"FLJ34747",4.78580587742604,12.2968781892254,2.98609538145844,4.1180460160718,3.82098410746582e-05,0.00550449452249695
"OR56A4",25.544271806591,12.2269214994269,2.97372352379792,4.11165375717617,3.92835124496878e-05,0.00560676005287777
"AP3B2",1873.29794060805,2.26458515384658,0.550891555880799,4.1107639601152,3.94352175833356e-05,0.00560676005287777
"CRISP3",3641.31371747663,-3.37036588760587,0.825250550229128,-4.08405166972636,4.42571832267355e-05,0.00624804968301969
"ZIM2",8399.41761188465,2.05395844425581,0.503262085169858,4.0812898582705,4.47864595736369e-05,0.00624804968301969
"PAX7",3.86804103360464,12.1745517210446,2.98309516608459,4.08118113678018,4.48074173930525e-05,0.00624804968301969
"SARS",597402.483123344,-0.421854976284278,0.103416991178446,-4.07916505283323,4.519773961312e-05,0.00626233394779745
"HTR1E",16.4885720347115,12.1221857296122,2.97482127866297,4.07492907777657,4.6028372594392e-05,0.00633705815851778
"CEL",8702.85206449224,1.07005996407858,0.263351661043582,4.06323605417283,4.83970422729301e-05,0.00660691395859592
"CYP11B2",32.5195129860055,10.1435332853399,2.49740091609962,4.06163592715495,4.87300317144822e-05,0.00660691395859592
"LOC440563",121.186742745012,8.73051948224681,2.15061093442822,4.05955319136699,4.9166707159108e-05,0.00660691395859592
"BCL2L13",261343.990445349,-0.320838804168596,0.0790364190282379,-4.05937931036536,4.92033310942187e-05,0.00660691395859592
"SERPINB13",10.9472398770446,12.1022855332531,2.98610794499424,4.05286270830926,5.05946964415237e-05,0.00675206399811328
"MGC15885",6.27007072881482,12.0524827348944,2.98256842272606,4.04097443098336,5.32295624777608e-05,0.00706038214987031
"MC5R",19.3775071713864,-8.78667378339359,2.1889795522654,-4.01405018804317,5.96856469371622e-05,0.00786873865347933
"OR51M1",17.4240401931459,10.5939560242665,2.64623688210324,4.00340426660759,6.24374736578085e-05,0.00818194195468861
"VCY1B",12.5831278434142,11.9100792987157,2.97945402950494,3.99740327616152,6.40411453396555e-05,0.00829218472960432
"VCY",12.5831278434142,11.9100792987157,2.97945402950494,3.99740327616152,6.40411453396555e-05,0.00829218472960432
"NCRNA00099",16.2436242233531,10.8613767141706,2.73091349715049,3.97719544229564,6.97328492439299e-05,0.00897573177280004
"C14orf50",1624.99986771937,1.09075426918234,0.274823803082237,3.96892211281985,7.21984736719762e-05,0.00923843175168529
"LIPK",20.8685353249354,11.7988854637049,2.98451598100134,3.95336648850721,7.70592697043948e-05,0.00980275025660643
